module,gene,kME,GS_RA,connectivity,is_hub
yellow,TMEM144,0.549,0.306,11.51,FALSE
yellow,DYNLT1,0.534,0.343,11.5,FALSE
yellow,LYSMD2,0.537,0.265,11.49,FALSE
yellow,PPP2CA,0.553,0.241,11.37,FALSE
yellow,USP8,0.549,0.189,11.3,FALSE
yellow,USP25,0.538,0.384,11.29,FALSE
yellow,TRIM24,0.541,0.286,11.09,FALSE
yellow,FAM45A,0.545,0.366,11.07,FALSE
yellow,YOD1,0.508,0.371,11.06,FALSE
yellow,RNASE4,0.546,0.391,10.98,FALSE
yellow,EIF4E3,0.545,0.352,10.85,FALSE
yellow,ABCA1,0.55,0.427,10.8,FALSE
yellow,ATP2B1,0.529,0.193,10.74,FALSE
yellow,CASP1,0.517,0.391,10.52,FALSE
yellow,COL4A3BP,0.517,0.253,10.4,FALSE
yellow,HIVEP1,0.521,0.23,10.39,FALSE
yellow,EFHC2,0.533,0.234,10.2,FALSE
yellow,SLC15A4,0.503,0.125,10.15,FALSE
yellow,FLI1,0.497,0.195,9.88,FALSE
yellow,RNF11,0.489,0.246,9.8,FALSE
yellow,ING2,0.536,0.4,9.77,FALSE
yellow,CLVS1,0.531,0.214,9.76,FALSE
yellow,MS4A3,0.54,0.412,9.67,FALSE
yellow,SDHD,0.509,0.227,9.63,FALSE
yellow,NSUN3,0.513,0.384,9.48,FALSE
yellow,ACTR3,0.516,0.201,9.2,FALSE
yellow,KLHL12,0.525,0.3,9.11,FALSE
yellow,KIF27,0.521,0.274,9.02,FALSE
yellow,NECAB1,0.508,0.221,8.99,FALSE
yellow,C9orf66,0.523,0.349,8.98,FALSE
yellow,RBMXL1,0.519,0.157,8.98,FALSE
yellow,DERA,0.492,0.339,8.89,FALSE
yellow,CD59,0.502,0.37,8.74,FALSE
yellow,NFXL1,0.523,0.125,8.71,FALSE
yellow,PPP2R5A,0.5,0.307,8.7,FALSE
yellow,ARPC3,0.495,0.279,8.66,FALSE
yellow,HIGD1A,0.491,0.298,8.58,FALSE
yellow,DACH1,0.51,0.322,8.5,FALSE
yellow,PCGF3,0.51,0.34,8.45,FALSE
yellow,CEP97,0.516,0.442,8.43,FALSE
yellow,CYP1B1,0.493,0.245,8.36,FALSE
yellow,FAM120A,0.495,0.193,8.31,FALSE
yellow,MS4A4A,0.473,0.467,8.24,FALSE
yellow,SNX30,0.49,0.116,8.15,FALSE
yellow,KIT,0.494,0.194,8.02,FALSE
yellow,SRBD1,0.473,0.44,7.95,FALSE
yellow,FBXO34,0.489,0.263,7.93,FALSE
yellow,CDC5L,0.487,0.329,7.92,FALSE
yellow,INTS6,0.497,0.172,7.86,FALSE
yellow,SCCPDH,0.502,0.396,7.84,FALSE
yellow,KL,0.493,0.368,7.72,FALSE
yellow,OSBPL9,0.496,0.312,7.68,FALSE
yellow,ANAPC13,0.494,0.29,7.62,FALSE
yellow,AIF1,0.459,0.243,7.42,FALSE
yellow,ARRDC4,0.492,0.284,7.27,FALSE
yellow,ETV3,0.486,0.152,7.25,FALSE
yellow,BCAT1,0.492,0.455,7.21,FALSE
yellow,RTN4,0.459,0.23,7.09,FALSE
yellow,FMO5,0.479,0.3,7.03,FALSE
yellow,ZKSCAN4,0.488,0.411,7.03,FALSE
yellow,TLR10,0.489,0.187,7,FALSE
yellow,ARHGAP29,0.485,0.377,6.93,FALSE
yellow,GPR155,0.471,0.228,6.88,FALSE
yellow,XPR1,0.479,0.291,6.88,FALSE
yellow,RIN2,0.43,0.179,6.87,FALSE
yellow,NR4A2,0.474,0.326,6.85,FALSE
yellow,KIAA1841,0.486,0.337,6.83,FALSE
yellow,SLC25A14,0.474,0.214,6.74,FALSE
yellow,PDK4,0.486,0.293,6.73,FALSE
yellow,CLPX,0.474,0.19,6.7,FALSE
yellow,APC,0.459,0.251,6.69,FALSE
yellow,RBMS1,0.447,0.28,6.68,FALSE
yellow,FMNL2,0.451,0.36,6.55,FALSE
yellow,ZNF396,0.48,0.309,6.51,FALSE
yellow,CRIPT,0.449,0.267,6.48,FALSE
yellow,CDKN2B,0.461,0.402,6.42,FALSE
yellow,CREG1,0.398,0.35,6.38,FALSE
yellow,RSBN1L,0.437,0.271,6.31,FALSE
yellow,CCNYL1,0.461,0.111,6.19,FALSE
yellow,ARMC8,0.44,0.204,6.18,FALSE
yellow,RUNX2,0.433,0.056,6.17,FALSE
yellow,PHF3,0.449,0.072,6.15,FALSE
yellow,GPD2,0.449,0.414,6.1,FALSE
yellow,FGFR1OP,0.454,0.087,6.05,FALSE
yellow,NUFIP2,0.445,0.213,5.96,FALSE
yellow,CENPW,0.43,0.369,5.85,FALSE
yellow,ETF1,0.44,0.169,5.78,FALSE
yellow,MCTP1,0.457,0.229,5.75,FALSE
yellow,SPG20,0.431,0.3,5.67,FALSE
yellow,ZNF93,0.449,0.317,5.63,FALSE
yellow,CLIC2,0.406,0.279,5.62,FALSE
yellow,MAP3K8,0.42,0.321,5.58,FALSE
yellow,ANGPT1,0.424,0.262,5.4,FALSE
yellow,CD86,0.374,0.306,5.36,FALSE
yellow,LY75,0.438,0.082,5.35,FALSE
yellow,GABARAPL2,0.407,0.238,5.34,FALSE
yellow,RASSF3,0.44,0.184,5.32,FALSE
yellow,CISD2,0.326,0.265,5.2,FALSE
yellow,HIPK1,0.407,0.105,5.19,FALSE
yellow,INTS12,0.436,0.299,5.18,FALSE
yellow,APH1B,0.433,0.348,5.12,FALSE
yellow,IL18,0.416,0.365,5.07,FALSE
yellow,TPK1,0.438,0.203,4.96,FALSE
yellow,ATP6V1D,0.385,0.311,4.87,FALSE
yellow,PIP5K1B,0.39,0.23,4.83,FALSE
yellow,F8,0.428,0.181,4.81,FALSE
yellow,LPAR1,0.413,0.164,4.8,FALSE
yellow,SUDS3,0.415,0.138,4.72,FALSE
yellow,TMTC2,0.417,0.2,4.7,FALSE
yellow,FUT4,0.414,0.379,4.68,FALSE
yellow,ARL15,0.408,0.348,4.64,FALSE
yellow,KYNU,0.381,0.402,4.64,FALSE
yellow,SERAC1,0.421,0.288,4.62,FALSE
yellow,ASB9,0.417,0.336,4.6,FALSE
yellow,FAM19A2,0.424,0.26,4.53,FALSE
yellow,SCYL3,0.398,0.128,4.48,FALSE
yellow,NKAPL,0.404,0.246,4.35,FALSE
yellow,SMAD2,0.4,0.198,4.28,FALSE
yellow,NRG1,0.389,0.266,4.24,FALSE
yellow,CTNNAL1,0.307,0.246,4.15,FALSE
yellow,METTL9,0.373,0.217,4.15,FALSE
yellow,CCR2,0.334,0.112,4.12,FALSE
yellow,CPEB3,0.392,0.317,4.08,FALSE
yellow,GPSM2,0.406,0.215,4.08,FALSE
yellow,TCF7L2,0.389,0.198,4.08,FALSE
yellow,DNAJB6,0.383,0.265,4.07,FALSE
yellow,DYX1C1,0.405,0.19,4.07,FALSE
yellow,DICER1,0.318,0.114,4.03,FALSE
yellow,ITGA1,0.406,0.221,3.99,FALSE
yellow,CMTM4,0.387,0.281,3.97,FALSE
yellow,IDH1,0.329,0.142,3.97,FALSE
yellow,VPS37A,0.388,0.214,3.95,FALSE
yellow,CLCN4,0.4,0.182,3.92,FALSE
yellow,SLC18A2,0.382,0.243,3.86,FALSE
yellow,P2RY14,0.359,0.169,3.85,FALSE
yellow,CD36,0.338,0.204,3.83,FALSE
yellow,EYS,0.384,0.18,3.77,FALSE
yellow,TMTC1,0.395,0.279,3.73,FALSE
yellow,PIK3R4,0.364,0.053,3.7,FALSE
yellow,GAPT,0.358,0.221,3.69,FALSE
yellow,TAF13,0.376,0.179,3.61,FALSE
yellow,CLEC12B,0.374,0.244,3.6,FALSE
yellow,ALS2,0.386,0.209,3.56,FALSE
yellow,ARMC2,0.379,0.214,3.56,FALSE
yellow,SERPINI2,0.382,0.295,3.53,FALSE
yellow,CCDC47,0.348,0.1,3.48,FALSE
yellow,MBD5,0.384,0.213,3.46,FALSE
yellow,SLBP,0.332,0.058,3.41,FALSE
yellow,SETD7,0.334,0.018,3.4,FALSE
yellow,GOLGA5,0.35,0.145,3.38,FALSE
yellow,CLEC12A,0.362,0.24,3.35,FALSE
yellow,MYH10,0.363,0.282,3.33,FALSE
yellow,SYCP3,0.376,0.181,3.3,FALSE
yellow,ZNF81,0.369,0.189,3.29,FALSE
yellow,RIPK2,0.318,0.246,3.28,FALSE
yellow,CACNB4,0.338,0.143,3.26,FALSE
yellow,ZNF844,0.363,0.301,3.21,FALSE
yellow,ING3,0.352,0.121,3.15,FALSE
yellow,ANLN,0.356,0.275,3.04,FALSE
yellow,TMEM208,0.326,0.277,3.04,FALSE
yellow,SPRY3,0.352,0.125,2.95,FALSE
yellow,ZNF658,0.353,0.295,2.89,FALSE
yellow,FLVCR1,0.345,0.004,2.88,FALSE
yellow,CNR1,0.345,0.119,2.84,FALSE
yellow,IL19,0.348,0.082,2.8,FALSE
yellow,PTX3,0.336,0.209,2.77,FALSE
yellow,TNNI3K,0.331,0.189,2.75,FALSE
yellow,CA8,0.34,0.231,2.73,FALSE
yellow,SCN9A,0.35,0.22,2.72,FALSE
yellow,PAPSS2,0.336,0.312,2.67,FALSE
yellow,FAM26F,0.306,0.197,2.66,FALSE
yellow,FCGR2B,0.341,0.235,2.66,FALSE
yellow,SOX4,0.301,0.065,2.66,FALSE
yellow,C12orf76,0.313,0.346,2.61,FALSE
yellow,PDLIM5,0.321,0.056,2.61,FALSE
yellow,SLC23A2,0.316,0.085,2.6,FALSE
yellow,C5orf58,0.318,0.163,2.59,FALSE
yellow,GLUD2,0.342,0.005,2.58,FALSE
yellow,DUSP6,0.311,-0.002,2.57,FALSE
yellow,VIP,0.331,0.154,2.56,FALSE
yellow,CYYR1,0.332,0.196,2.53,FALSE
yellow,CTTNBP2NL,0.312,0.136,2.48,FALSE
yellow,NETO2,0.314,0.132,2.46,FALSE
yellow,GIPC2,0.33,0.223,2.45,FALSE
yellow,PPP2R3A,0.329,0.007,2.45,FALSE
yellow,C7,0.312,0.167,2.31,FALSE
yellow,HEPH,0.312,0.164,2.3,FALSE
yellow,MCM9,0.305,0.115,2.28,FALSE
yellow,C8orf46,0.316,0.195,2.2,FALSE
yellow,FMN2,0.309,0.17,2.06,FALSE
yellow,TMPRSS12,0.303,0.164,2.01,FALSE
brown,KHSRP,0.911,-0.564,130.11,TRUE
brown,GPI,0.907,-0.51,124.52,TRUE
brown,SF3B3,0.894,-0.567,122.04,TRUE
brown,CLSTN1,0.896,-0.556,119.11,TRUE
brown,XRCC6,0.879,-0.489,118.4,TRUE
brown,EXOSC10,0.902,-0.549,117.89,TRUE
brown,PTBP1,0.897,-0.582,116.57,TRUE
brown,SARS,0.886,-0.513,114.75,TRUE
brown,HCFC1,0.88,-0.487,114.64,TRUE
brown,DDX24,0.882,-0.554,113.65,TRUE
brown,NUMA1,0.886,-0.539,111.63,TRUE
brown,SF1,0.877,-0.521,110.58,TRUE
brown,SCAMP3,0.895,-0.473,110.57,TRUE
brown,RNPS1,0.889,-0.527,109.52,TRUE
brown,PUF60,0.878,-0.51,109.11,TRUE
brown,ANAPC5,0.888,-0.51,108.59,TRUE
brown,SRRT,0.875,-0.592,107.67,TRUE
brown,NFATC3,0.874,-0.555,107.37,TRUE
brown,BAZ1B,0.876,-0.53,106.77,TRUE
brown,NUDCD3,0.885,-0.491,106.19,TRUE
brown,FTO,0.865,-0.53,104.59,TRUE
brown,SEC31A,0.873,-0.521,104.56,TRUE
brown,ESYT1,0.864,-0.571,103.48,TRUE
brown,TNRC6A,0.871,-0.499,103.38,TRUE
brown,SSRP1,0.874,-0.537,103.21,TRUE
brown,MLLT6,0.866,-0.549,102.75,TRUE
brown,CDC25B,0.861,-0.523,102.54,TRUE
brown,ABCF1,0.865,-0.581,101.65,TRUE
brown,CYFIP2,0.86,-0.506,101.34,TRUE
brown,MAP4K1,0.871,-0.555,101.24,TRUE
brown,FAM134C,0.864,-0.458,101.14,TRUE
brown,GANAB,0.861,-0.496,100.89,TRUE
brown,PRPF8,0.847,-0.549,100.75,TRUE
brown,HNRNPUL1,0.846,-0.54,100.36,TRUE
brown,DNMT1,0.859,-0.495,99.82,TRUE
brown,TRIM44,0.869,-0.516,99.78,TRUE
brown,MAP4,0.846,-0.519,98.03,TRUE
brown,C6orf106,0.855,-0.488,97.46,TRUE
brown,PSMC5,0.858,-0.471,97.21,TRUE
brown,FXYD5,0.858,-0.425,96.88,TRUE
brown,PPP1CA,0.851,-0.438,96.86,TRUE
brown,SMARCD1,0.858,-0.512,96.83,TRUE
brown,SPTAN1,0.848,-0.503,96.33,TRUE
brown,ANXA6,0.852,-0.457,95.97,TRUE
brown,MDH2,0.859,-0.452,95.86,TRUE
brown,CSNK2B,0.834,-0.414,95.78,TRUE
brown,SUN2,0.848,-0.473,95.28,TRUE
brown,RHOF,0.864,-0.472,95.13,TRUE
brown,PIP4K2B,0.858,-0.525,95.1,TRUE
brown,GOT2,0.849,-0.495,94.15,TRUE
brown,NISCH,0.852,-0.525,93.39,TRUE
brown,ECHS1,0.852,-0.493,93.37,TRUE
brown,DENND1C,0.834,-0.502,93.35,TRUE
brown,IDH3B,0.837,-0.47,93.33,TRUE
brown,KPNA6,0.842,-0.482,92.77,TRUE
brown,GLG1,0.817,-0.519,92.13,TRUE
brown,TUBB,0.84,-0.507,92.11,TRUE
brown,IDH3G,0.821,-0.475,91.49,TRUE
brown,PPRC1,0.846,-0.544,90.96,TRUE
brown,LARP1,0.829,-0.508,90.51,TRUE
brown,NDUFV1,0.847,-0.515,90.44,TRUE
brown,YLPM1,0.812,-0.554,90.43,TRUE
brown,NUDC,0.839,-0.511,90.24,TRUE
brown,SUPT5H,0.828,-0.545,90.17,TRUE
brown,PSMD11,0.834,-0.494,90.1,TRUE
brown,USP36,0.842,-0.547,89.82,TRUE
brown,ITGAL,0.835,-0.541,89.77,TRUE
brown,MAZ,0.849,-0.517,89.37,TRUE
brown,SMARCC2,0.823,-0.55,89.29,TRUE
brown,HDAC1,0.837,-0.537,88.97,TRUE
brown,PPM1G,0.827,-0.474,88.96,TRUE
brown,USP11,0.844,-0.522,88.54,TRUE
brown,ATIC,0.823,-0.502,88.35,TRUE
brown,FNBP1,0.813,-0.477,88.27,TRUE
brown,KDELR1,0.825,-0.437,88.26,TRUE
brown,NF2,0.834,-0.398,87.96,TRUE
brown,SRP68,0.831,-0.456,87.2,TRUE
brown,TATDN2,0.838,-0.516,87.09,TRUE
brown,GOLGA3,0.832,-0.518,86.52,TRUE
brown,TECR,0.834,-0.452,86.49,TRUE
brown,IRF3,0.835,-0.526,86.47,TRUE
brown,TRRAP,0.833,-0.513,86.36,TRUE
brown,EFTUD2,0.807,-0.47,86.35,TRUE
brown,FYN,0.822,-0.491,86.26,TRUE
brown,EIF2B5,0.843,-0.523,86.18,TRUE
brown,ITGB7,0.838,-0.512,85.95,TRUE
brown,FLNA,0.812,-0.426,85.87,TRUE
brown,DNAJC11,0.844,-0.497,85.8,TRUE
brown,PSMD2,0.814,-0.5,85.15,TRUE
brown,TMC8,0.829,-0.55,85.1,TRUE
brown,MYCBP2,0.818,-0.56,85.01,TRUE
brown,DPAGT1,0.83,-0.571,84.27,TRUE
brown,ALKBH5,0.824,-0.476,83.91,TRUE
brown,ZBTB4,0.803,-0.552,83.13,TRUE
brown,TCF25,0.822,-0.463,82.96,TRUE
brown,TNFAIP8L1,0.835,-0.491,82.76,TRUE
brown,NFATC2IP,0.819,-0.494,82.75,TRUE
brown,PFN1,0.811,-0.434,82.74,TRUE
brown,ADD1,0.798,-0.493,82.57,FALSE
brown,RBM14,0.833,-0.447,81.7,TRUE
brown,MCCC2,0.821,-0.486,81.65,TRUE
brown,STAG3L3,0.824,-0.462,81.63,TRUE
brown,PSMC4,0.808,-0.375,81.39,TRUE
brown,DAXX,0.81,-0.465,81.13,TRUE
brown,TJAP1,0.83,-0.529,81.04,TRUE
brown,CNOT1,0.808,-0.518,81,TRUE
brown,ENO1,0.783,-0.455,80.9,FALSE
brown,SPOCK2,0.805,-0.449,80.6,TRUE
brown,POGK,0.828,-0.471,80.53,TRUE
brown,ATP1A1,0.813,-0.418,80.24,TRUE
brown,KDM1A,0.821,-0.621,80.05,TRUE
brown,NAT10,0.819,-0.597,80.01,TRUE
brown,TERF2,0.794,-0.5,79.1,FALSE
brown,DCAF7,0.788,-0.465,79.03,FALSE
brown,CAPNS1,0.784,-0.362,78.96,FALSE
brown,HSP90AB1,0.794,-0.486,78.57,FALSE
brown,IMMT,0.802,-0.542,78.48,TRUE
brown,CCT7,0.804,-0.414,78.37,TRUE
brown,ICAM2,0.818,-0.446,78.35,TRUE
brown,TRIM28,0.815,-0.473,78.35,TRUE
brown,SHC1,0.801,-0.476,78.33,TRUE
brown,ARHGEF18,0.814,-0.494,78.2,TRUE
brown,ATP5D,0.819,-0.435,78.2,TRUE
brown,CASP2,0.799,-0.554,77.94,FALSE
brown,NCOA5,0.806,-0.426,77.85,TRUE
brown,VPS4A,0.814,-0.482,77.55,TRUE
brown,DDX41,0.799,-0.446,77.54,FALSE
brown,WDR6,0.8,-0.552,77.47,FALSE
brown,SPN,0.816,-0.406,77.09,TRUE
brown,LENG8,0.806,-0.495,76.95,TRUE
brown,ADRM1,0.791,-0.469,76.75,FALSE
brown,MAGED1,0.804,-0.61,76.74,TRUE
brown,DDX27,0.814,-0.534,76.63,TRUE
brown,SAMM50,0.818,-0.508,76.6,TRUE
brown,P2RY8,0.801,-0.526,76.56,TRUE
brown,TTC31,0.806,-0.547,76.52,TRUE
brown,GGA2,0.809,-0.53,76.17,TRUE
brown,PTPN18,0.781,-0.423,76.16,FALSE
brown,GORASP2,0.801,-0.512,75.98,TRUE
brown,TP53,0.797,-0.502,75.97,FALSE
brown,ZBTB20,0.811,-0.49,75.88,TRUE
brown,RASAL3,0.801,-0.506,75.64,TRUE
brown,NUP210,0.808,-0.478,75.48,TRUE
brown,U2AF2,0.805,-0.548,75.44,TRUE
brown,DGKA,0.793,-0.471,75.22,FALSE
brown,CHD3,0.809,-0.412,75.14,TRUE
brown,TRPV2,0.819,-0.408,75.1,TRUE
brown,UBAP2,0.806,-0.581,75.07,TRUE
brown,RPN2,0.796,-0.474,75.01,FALSE
brown,CTCF,0.76,-0.483,74.41,FALSE
brown,SMARCA4,0.789,-0.554,74.15,FALSE
brown,MMS19,0.802,-0.565,74.11,TRUE
brown,DDOST,0.799,-0.459,74.08,FALSE
brown,CTBP1,0.797,-0.475,74.02,FALSE
brown,SLC25A45,0.802,-0.504,73.94,TRUE
brown,TEX261,0.794,-0.466,73.55,FALSE
brown,AAK1,0.789,-0.456,73.54,FALSE
brown,POLD2,0.809,-0.512,73.46,TRUE
brown,ITPKB,0.792,-0.443,73.43,FALSE
brown,NSUN5P1,0.792,-0.527,73.05,FALSE
brown,RNF220,0.816,-0.425,73.05,TRUE
brown,SURF4,0.783,-0.469,72.79,FALSE
brown,QRICH1,0.785,-0.487,72.71,FALSE
brown,MCM3AP,0.801,-0.575,72.67,TRUE
brown,FOXP1,0.774,-0.469,72.58,FALSE
brown,PITRM1,0.806,-0.468,72.58,TRUE
brown,IKZF1,0.778,-0.495,72.42,FALSE
brown,PSMD8,0.776,-0.403,72.42,FALSE
brown,SRRM2,0.785,-0.534,72.08,FALSE
brown,NFATC2,0.785,-0.482,72.06,FALSE
brown,LETM1,0.805,-0.491,72.02,TRUE
brown,DDX56,0.795,-0.441,71.79,FALSE
brown,TMC6,0.802,-0.479,71.77,TRUE
brown,EDF1,0.782,-0.433,71.76,FALSE
brown,TPP1,0.751,-0.415,71.68,FALSE
brown,VPS11,0.785,-0.534,71.6,FALSE
brown,SYNRG,0.776,-0.433,71.46,FALSE
brown,YARS,0.795,-0.499,71.42,FALSE
brown,ABHD14B,0.8,-0.402,71.25,FALSE
brown,NUP62,0.788,-0.532,70.98,FALSE
brown,UCP2,0.801,-0.414,70.98,TRUE
brown,GARS,0.8,-0.467,70.61,FALSE
brown,BRD2,0.775,-0.484,70.57,FALSE
brown,DNAJB1,0.796,-0.451,70.19,FALSE
brown,EIF2B4,0.794,-0.489,70.17,FALSE
brown,SLC35A4,0.767,-0.435,70.1,FALSE
brown,RASA3,0.781,-0.396,69.82,FALSE
brown,EZR,0.775,-0.524,69.72,FALSE
brown,SLC25A3,0.792,-0.415,69.51,FALSE
brown,PCSK7,0.781,-0.548,69.4,FALSE
brown,TRIM26,0.758,-0.417,69.19,FALSE
brown,CECR1,0.771,-0.419,69.02,FALSE
brown,PIH1D1,0.8,-0.483,68.54,FALSE
brown,CTNNBL1,0.772,-0.465,68.39,FALSE
brown,WDR1,0.761,-0.457,68.04,FALSE
brown,NDRG3,0.771,-0.476,67.91,FALSE
brown,SIGIRR,0.8,-0.452,67.75,FALSE
brown,CNDP2,0.774,-0.468,67.57,FALSE
brown,SASH3,0.765,-0.445,67.56,FALSE
brown,POLG,0.778,-0.544,67.35,FALSE
brown,ZMYM3,0.786,-0.481,67.23,FALSE
brown,CXXC1,0.793,-0.432,67.19,FALSE
brown,CCDC92,0.793,-0.456,67.14,FALSE
brown,RANGAP1,0.792,-0.511,66.85,FALSE
brown,PDDC1,0.788,-0.557,66.81,FALSE
brown,IL27RA,0.787,-0.472,66.66,FALSE
brown,ELP3,0.772,-0.447,66.52,FALSE
brown,PPP2R5D,0.765,-0.422,66.34,FALSE
brown,ZNF362,0.77,-0.443,66.2,FALSE
brown,CHTF8,0.781,-0.391,66.15,FALSE
brown,ABCF3,0.78,-0.443,66.01,FALSE
brown,HMGA1,0.786,-0.405,65.99,FALSE
brown,LARS,0.78,-0.509,65.89,FALSE
brown,EIF4A3,0.749,-0.448,65.85,FALSE
brown,FBXW4,0.791,-0.434,65.52,FALSE
brown,EIF3G,0.778,-0.358,65.51,FALSE
brown,PLCG1,0.777,-0.518,65.47,FALSE
brown,EMP3,0.786,-0.33,65.45,FALSE
brown,MINK1,0.77,-0.467,65.3,FALSE
brown,SDHA,0.767,-0.426,65.04,FALSE
brown,CIZ1,0.769,-0.474,64.52,FALSE
brown,EDC3,0.789,-0.406,64.46,FALSE
brown,OSBP,0.774,-0.495,64.45,FALSE
brown,KARS,0.764,-0.465,64.39,FALSE
brown,TAF15,0.773,-0.45,64.34,FALSE
brown,LAMP1,0.748,-0.433,64.24,FALSE
brown,AP1G2,0.762,-0.425,64.09,FALSE
brown,WBSCR22,0.773,-0.434,64.05,FALSE
brown,NONO,0.747,-0.47,64.02,FALSE
brown,CLK2,0.769,-0.554,63.52,FALSE
brown,PRPF6,0.759,-0.488,63.26,FALSE
brown,CS,0.77,-0.487,63.08,FALSE
brown,EXOC7,0.76,-0.467,63.04,FALSE
brown,NUP93,0.75,-0.489,62.88,FALSE
brown,SNX17,0.753,-0.367,62.86,FALSE
brown,NKTR,0.758,-0.448,62.83,FALSE
brown,ZMIZ2,0.767,-0.534,62.75,FALSE
brown,LOC100131541,0.758,-0.465,62.72,FALSE
brown,ATP5B,0.754,-0.391,62.6,FALSE
brown,HEATR1,0.77,-0.469,62.57,FALSE
brown,OXA1L,0.77,-0.452,62.15,FALSE
brown,LCMT1,0.785,-0.376,62.03,FALSE
brown,SMARCAL1,0.774,-0.422,62.03,FALSE
brown,GALT,0.779,-0.489,61.78,FALSE
brown,APOBEC3C,0.776,-0.515,61.77,FALSE
brown,CUL9,0.762,-0.51,61.77,FALSE
brown,SLC9A3R1,0.759,-0.421,61.77,FALSE
brown,CCDC84,0.758,-0.482,61.76,FALSE
brown,HDAC6,0.764,-0.476,61.69,FALSE
brown,ZNF609,0.763,-0.513,61.68,FALSE
brown,CD74,0.766,-0.421,61.66,FALSE
brown,GON4L,0.76,-0.439,61.62,FALSE
brown,P4HB,0.75,-0.341,61.57,FALSE
brown,SNRPB,0.764,-0.481,61.57,FALSE
brown,ASXL2,0.737,-0.472,61.42,FALSE
brown,GUSB,0.765,-0.414,61.4,FALSE
brown,TMEM131,0.724,-0.547,61.38,FALSE
brown,DYNC1H1,0.741,-0.548,61.23,FALSE
brown,PTDSS1,0.761,-0.411,61.22,FALSE
brown,WDR82,0.734,-0.44,61.17,FALSE
brown,ZNF317,0.751,-0.459,61.06,FALSE
brown,FARSA,0.769,-0.421,61.05,FALSE
brown,ZNF573,0.749,-0.48,60.91,FALSE
brown,PELP1,0.763,-0.521,60.86,FALSE
brown,OGFOD1,0.759,-0.525,60.7,FALSE
brown,ZNF212,0.758,-0.434,60.69,FALSE
brown,COPS6,0.77,-0.391,60.68,FALSE
brown,GPS1,0.77,-0.483,60.65,FALSE
brown,ELAVL1,0.748,-0.475,60.54,FALSE
brown,EIF6,0.743,-0.418,60.49,FALSE
brown,CUEDC2,0.741,-0.388,60.45,FALSE
brown,AP3D1,0.749,-0.558,60.32,FALSE
brown,PSMD1,0.738,-0.369,60.32,FALSE
brown,BCAP31,0.754,-0.367,60.31,FALSE
brown,PHACTR4,0.77,-0.4,60.22,FALSE
brown,EIF3B,0.768,-0.469,60.19,FALSE
brown,PRR12,0.766,-0.489,60.17,FALSE
brown,GRWD1,0.765,-0.451,60.16,FALSE
brown,TCOF1,0.765,-0.481,60.15,FALSE
brown,FTSJ3,0.767,-0.483,60.14,FALSE
brown,ACSS1,0.774,-0.477,59.89,FALSE
brown,APOOL,0.764,-0.441,59.86,FALSE
brown,SF3A2,0.743,-0.376,59.71,FALSE
brown,RUVBL2,0.753,-0.456,59.7,FALSE
brown,APEH,0.751,-0.383,59.58,FALSE
brown,MLEC,0.749,-0.409,59.53,FALSE
brown,CRTC3,0.749,-0.383,59.5,FALSE
brown,NUP188,0.766,-0.474,59.37,FALSE
brown,MYBBP1A,0.772,-0.45,59.18,FALSE
brown,CD37,0.753,-0.424,59.15,FALSE
brown,VPS33B,0.757,-0.508,59.09,FALSE
brown,MCM3,0.752,-0.4,59,FALSE
brown,SND1,0.749,-0.514,58.87,FALSE
brown,YIF1A,0.756,-0.362,58.82,FALSE
brown,SRRM1,0.728,-0.508,58.77,FALSE
brown,ZAP70,0.749,-0.464,58.77,FALSE
brown,FBXO21,0.719,-0.458,58.75,FALSE
brown,USP20,0.754,-0.461,58.74,FALSE
brown,CSNK2A1,0.72,-0.457,58.69,FALSE
brown,NBAS,0.763,-0.538,58.68,FALSE
brown,CCDC88C,0.723,-0.468,58.59,FALSE
brown,ANAPC7,0.758,-0.48,58.25,FALSE
brown,IL18BP,0.757,-0.434,57.82,FALSE
brown,KIAA0754,0.744,-0.43,57.74,FALSE
brown,B3GAT3,0.762,-0.428,57.65,FALSE
brown,PARP1,0.727,-0.516,57.62,FALSE
brown,GPATCH8,0.736,-0.453,57.59,FALSE
brown,COG1,0.752,-0.473,57.51,FALSE
brown,BTN3A3,0.748,-0.413,57.41,FALSE
brown,ARHGAP17,0.744,-0.502,57.39,FALSE
brown,MAPRE2,0.753,-0.429,57.37,FALSE
brown,RING1,0.751,-0.421,57.03,FALSE
brown,TAF1C,0.738,-0.519,57,FALSE
brown,TXLNA,0.747,-0.42,56.95,FALSE
brown,MADD,0.749,-0.414,56.73,FALSE
brown,SCRIB,0.744,-0.482,56.72,FALSE
brown,RCC2,0.747,-0.391,56.67,FALSE
brown,BCL9L,0.749,-0.44,56.63,FALSE
brown,CDK5RAP3,0.734,-0.49,56.52,FALSE
brown,DYNLRB1,0.718,-0.325,56.47,FALSE
brown,SHMT2,0.754,-0.437,56.44,FALSE
brown,ACO2,0.736,-0.442,56.39,FALSE
brown,IPO9,0.751,-0.452,56.38,FALSE
brown,ZC3H4,0.713,-0.471,56.33,FALSE
brown,THADA,0.749,-0.457,56.28,FALSE
brown,FIBP,0.735,-0.332,56.23,FALSE
brown,FARSB,0.753,-0.521,56,FALSE
brown,ACLY,0.729,-0.471,55.9,FALSE
brown,MEN1,0.746,-0.499,55.59,FALSE
brown,RNH1,0.708,-0.445,55.45,FALSE
